Frame,A,B,C,D,E,F,G,H,I,J,K,L
89,135.286,165.187,110.827,120.616,90,90,92.8021,92.7589,134.493,141.896,121.156,121.589,
90,140.389,171.144,112.645,115.952,90,90,93.3953,92.8088,142.064,146.229,120.599,120.165,
91,145.628,163.582,119.833,117.435,90,90,93.2135,93.5153,151.694,151.779,121.164,121.038,
92,145.72,163.576,119.89,117.449,90,90,93.2282,93.5383,151.909,151.945,121.136,121.01,
93,145.72,163.576,119.89,117.449,90,90,93.2282,93.5383,151.909,151.945,121.136,121.01,
94,148.089,165.53,119.149,117.128,90,90,93.6049,93.1363,154.233,154.351,121.264,120.969,
95,148.105,165.549,119.174,117.128,90,90,93.6091,93.1321,154.266,154.385,121.26,120.963,
96,148.108,165.551,119.174,117.128,90,90,93.6101,93.1322,154.271,154.39,121.259,120.962,
97,148.108,165.551,119.174,117.128,90,90,93.6101,93.1322,154.271,154.39,121.259,120.962,
98,148.108,165.551,119.174,117.128,90,90,93.6101,93.1322,154.271,154.39,121.259,120.962,
99,148.108,165.551,119.174,117.128,90,90,93.6101,93.1322,154.271,154.39,121.259,120.962,
100,148.263,165.547,119.567,117.156,90,90,93.7079,93.1522,154.759,154.643,121.207,120.907,
101,142.43,160.799,120.705,120.16,90,90,93.5423,93.2366,153.007,156.032,122.531,121.183,
102,142.43,160.799,120.705,120.16,90,90,93.5423,93.2366,153.007,156.032,122.531,121.183,
103,142.443,160.811,120.704,120.155,90,90,93.5365,93.2375,153.028,156.037,122.528,121.183,
104,142.571,160.893,120.379,120.101,90,90,93.1287,93.2531,154.11,156.374,122.373,121.287,
105,142.713,161.051,120.323,120.07,90,90,93.1707,93.2256,154.45,156.577,122.336,121.297,
106,142.968,161.111,120.502,120.077,90,90,93.1364,93.2852,154.514,156.741,122.359,121.316,
107,142.975,161.118,120.506,120.076,90,90,93.1393,93.2858,154.516,156.744,122.359,121.316,
108,142.976,161.118,120.506,120.076,90,90,93.1393,93.2859,154.517,156.744,122.359,121.316,
109,142.976,161.118,120.506,120.076,90,90,93.1393,93.2859,154.517,156.744,122.359,121.316,
110,142.976,161.118,120.506,120.076,90,90,93.1393,93.2859,154.517,156.744,122.359,121.316,
111,142.976,161.118,120.506,120.076,90,90,93.1393,93.2859,154.517,156.744,122.359,121.316,
112,142.976,161.118,120.506,120.076,90,90,93.1393,93.2859,154.517,156.744,122.359,121.316,
113,142.976,161.118,120.507,120.076,90,90,93.1392,93.286,154.517,156.744,122.359,121.316,
114,143.033,161.182,120.563,120.071,90,90,93.1868,93.3032,154.526,156.76,122.359,121.317,
115,147.13,165.385,121.04,119.656,90,90,92.9657,93.5214,156.522,157.276,122.32,121.92,
116,147.135,165.387,121.041,119.655,90,90,92.9692,93.5207,156.522,157.276,122.32,121.92,
117,148.303,166.548,120.872,120.248,90,90,92.894,94.0849,156.153,156.89,122.287,121.959,
118,148.304,166.549,120.871,120.248,90,90,92.8956,94.0843,156.153,156.891,122.287,121.959,
119,148.388,166.579,120.864,120.234,90,90,92.9306,94.0433,156.167,156.875,122.278,121.952,
120,149.416,167.479,119.952,120.129,90,90,93.4271,94.0062,155.551,156.882,122.099,121.594,
121,149.418,167.48,119.957,120.128,90,90,93.427,94.0051,155.551,156.882,122.099,121.594,
122,149.448,167.632,120.024,120.118,90,90,93.4406,93.9762,155.545,156.873,122.098,121.592,
123,149.317,167.643,120.354,120.22,90,90,93.2446,94.0403,155.454,156.849,122.118,121.668,
124,149.319,167.645,120.357,120.22,90,90,93.2393,94.0381,155.455,156.847,122.118,121.667,
125,149.32,167.644,120.361,120.22,90,90,93.2381,94.0371,155.455,156.847,122.118,121.667,
126,149.32,167.644,120.362,120.22,90,90,93.238,94.037,155.455,156.846,122.118,121.667,
127,149.32,167.644,120.362,120.22,90,90,93.238,94.037,155.455,156.846,122.118,121.667,
128,149.32,167.644,120.362,120.22,90,90,93.238,94.037,155.455,156.846,122.118,121.667,
129,149.329,167.624,120.383,120.221,90,90,93.2263,94.025,155.455,156.838,122.118,121.666,
130,149.335,167.607,120.407,120.221,90,90,93.2159,94.0203,155.455,156.832,122.119,121.665,
131,149.335,167.607,120.407,120.222,90,90,93.2158,94.0203,155.455,156.832,122.119,121.665,
132,149.335,167.607,120.407,120.222,90,90,93.2158,94.0203,155.455,156.832,122.119,121.665,
133,149.335,167.607,120.407,120.222,90,90,93.2158,94.0203,155.455,156.832,122.119,121.665,
134,151.128,169.191,120.178,119.122,90,90,93.1023,93.3978,156.744,157.331,121.934,121.738,
135,151.154,169.25,120.2,119.113,90,90,93.0221,93.3423,156.735,157.337,121.936,121.732,
136,151.358,168.926,120.485,118.727,90,90,93.2698,92.8417,155.285,157.026,121.521,120.863,
137,151.36,168.934,120.484,118.725,90,90,93.2682,92.8364,155.285,157.017,121.52,120.864,
138,143.977,158.956,122.593,120.92,90,90,92.7008,93.7165,155.302,156.639,122.392,121.722,
139,143.977,158.955,122.593,120.921,90,90,92.7002,93.7168,155.304,156.637,122.391,121.723,
140,143.977,158.955,122.593,120.921,90,90,92.7002,93.7168,155.304,156.637,122.391,121.723,
141,143.977,158.955,122.593,120.92,90,90,92.7002,93.7168,155.304,156.637,122.391,121.723,
142,143.977,158.955,122.593,120.92,90,90,92.7002,93.7168,155.304,156.637,122.391,121.723,
143,145.793,162.724,122.866,119.833,90,90,93.0289,93.2766,155.708,156.455,122.017,121.432,
144,145.794,162.727,122.865,119.832,90,90,93.0289,93.2768,155.708,156.455,122.017,121.433,
145,145.794,162.727,122.865,119.832,90,90,93.0289,93.2768,155.708,156.455,122.017,121.433,
146,145.794,162.727,122.865,119.832,90,90,93.0289,93.2768,155.708,156.455,122.017,121.433,
147,145.794,162.727,122.865,119.832,90,90,93.0289,93.2768,155.708,156.455,122.017,121.433,
148,145.794,162.728,122.865,119.832,90,90,93.029,93.277,155.708,156.455,122.017,121.433,
149,145.794,162.728,122.865,119.832,90,90,93.029,93.277,155.708,156.455,122.017,121.433,
150,145.794,162.728,122.865,119.832,90,90,93.029,93.277,155.708,156.455,122.017,121.433,
151,145.794,162.728,122.865,119.832,90,90,93.029,93.277,155.708,156.455,122.017,121.433,
152,145.794,162.728,122.865,119.832,90,90,93.029,93.277,155.708,156.455,122.017,121.433,
153,145.794,162.728,122.865,119.832,90,90,93.029,93.277,155.708,156.455,122.017,121.433,
154,147.904,164.456,122.068,118.999,90,90,93.4574,92.9634,155.463,156.405,121.877,121.103,
155,147.905,164.467,122.069,118.997,90,90,93.4577,92.9646,155.466,156.406,121.877,121.103,
156,147.905,164.467,122.069,118.997,90,90,93.4577,92.9646,155.466,156.406,121.877,121.103,
157,147.905,164.467,122.069,118.997,90,90,93.4577,92.9646,155.466,156.406,121.877,121.103,
158,147.91,164.551,122.031,118.976,90,90,93.4444,92.9704,155.513,156.424,121.872,121.101,
159,146.353,162.877,122.537,120.354,90,90,93.4295,93.0078,155.888,156.822,122.29,121.503,
160,146.353,162.877,122.537,120.353,90,90,93.4296,93.0078,155.888,156.822,122.29,121.503,
161,146.353,162.877,122.537,120.353,90,90,93.4296,93.0078,155.888,156.822,122.29,121.503,
162,146.353,162.877,122.537,120.353,90,90,93.4296,93.0078,155.888,156.822,122.29,121.503,
163,146.359,162.919,122.439,120.332,90,90,93.4472,93.0352,155.896,156.897,122.302,121.502,
164,146.627,163.773,121.575,119.109,90,90,93.8752,93.0884,156.224,156.773,122.364,121.81,
165,146.627,163.763,121.571,119.108,90,90,93.874,93.0886,156.224,156.775,122.364,121.809,
166,146.641,163.821,121.464,119.095,90,90,93.8405,93.1088,156.219,156.849,122.372,121.785,
167,146.646,163.824,121.42,119.097,90,90,93.83,93.1128,156.219,156.863,122.374,121.78,
168,146.687,163.883,121.139,119.106,90,90,93.7493,93.1554,156.183,157.023,122.402,121.721,
169,147.007,163.331,120.64,119.426,90,90,93.7093,93.0612,155.156,157.164,122.182,121.067,
170,147.013,163.36,120.607,119.42,90,90,93.7076,93.0709,155.158,157.163,122.181,121.066,
