Frame,A,B,C,D,E,F,G,H,I,J,K,L
91,156.733,155.246,119.285,117.583,90,90,94.4177,92.5769,156.14,176.081,103.249,103.079,
92,156.733,155.246,119.285,117.582,90,90,94.4177,92.5767,156.14,176.08,103.249,103.079,
93,153.584,158.327,116.97,114.822,90,90,96.2344,93.6925,162.784,176.65,106.547,107.184,
94,153.327,156.667,118.624,116.274,90,90,96.0011,92.6118,157.955,177.561,104.721,105.522,
95,152.414,156.363,117.426,115.391,90,90,96.4796,92.4083,164.589,179.295,106.097,107.538,
96,152.414,156.363,117.426,115.391,90,90,96.4796,92.4083,164.589,179.295,106.097,107.538,
97,153.101,156.35,117.473,115.588,90,90,96.0425,92.5342,165.882,179.773,106.338,107.616,
98,153.098,156.355,117.473,115.59,90,90,96.0421,92.5341,165.879,179.771,106.339,107.616,
99,153.097,156.355,117.473,115.59,90,90,96.042,92.534,165.878,179.771,106.339,107.616,
100,153.097,156.355,117.473,115.59,90,90,96.042,92.534,165.878,179.771,106.339,107.616,
101,153.097,156.355,117.473,115.59,90,90,96.042,92.534,165.878,179.771,106.339,107.616,
102,153.128,156.399,117.481,115.621,90,90,96.0411,92.5423,165.842,179.774,106.336,107.614,
103,154.475,156.102,117.232,115.957,90,90,95.7759,92.8405,167.156,179.713,106.614,107.884,
104,154.493,156.096,117.231,115.96,90,90,95.7711,92.8374,167.14,179.724,106.613,107.885,
105,154.408,155.81,116.736,115.705,90,90,95.826,92.7346,167.279,179.123,107.262,108.594,
106,154.41,155.813,116.736,115.705,90,90,95.8258,92.7345,167.278,179.123,107.262,108.594,
107,154.411,155.814,116.736,115.706,90,90,95.8258,92.7345,167.278,179.123,107.262,108.594,
108,154.411,155.814,116.736,115.706,90,90,95.8258,92.7345,167.278,179.123,107.262,108.594,
109,154.411,155.814,116.736,115.706,90,90,95.8258,92.7345,167.278,179.123,107.262,108.594,
110,154.411,155.814,116.736,115.706,90,90,95.8258,92.7345,167.278,179.123,107.262,108.594,
111,153.913,156.49,116.721,115.344,90,90,96.0835,92.7979,166.496,179.727,106.934,108.21,
112,153.913,156.49,116.721,115.344,90,90,96.0835,92.7979,166.496,179.727,106.935,108.21,
113,153.913,156.49,116.721,115.344,90,90,96.0835,92.7979,166.496,179.727,106.935,108.21,
114,153.913,156.49,116.721,115.344,90,90,96.0835,92.7979,166.496,179.727,106.935,108.21,
115,153.902,156.48,116.718,115.344,90,90,96.0829,92.7972,166.494,179.725,106.935,108.211,
116,153.899,156.477,116.717,115.344,90,90,96.0828,92.797,166.493,179.725,106.935,108.211,
117,153.899,156.477,116.717,115.344,90,90,96.0828,92.797,166.493,179.725,106.935,108.211,
118,153.864,156.44,116.71,115.341,90,90,96.0814,92.7952,166.488,179.72,106.936,108.212,
119,153.711,156.323,116.687,115.333,90,90,96.0745,92.7865,166.465,179.699,106.944,108.22,
120,154.13,153.739,120.248,113.906,90,90,93.8034,88.9371,162.288,166.106,106.317,108.528,
121,162.876,147.562,125.598,117.827,90,90,96.3665,89.0714,138.063,154.892,101.055,104.095,
122,146.586,151.286,119.334,118.185,90,90,95.5354,91.1915,133.913,148.619,101.475,103.843,
123,138.228,151.762,113.091,117.597,90,90,90.6335,90.6793,131.002,126.705,99.8327,102.975,
